area,bedrooms,bathrooms,stories,parking,location,age,price
1735,2,4,1,3,Suburban,6,250402
3283,2,3,2,3,Urban,29,396286
2162,1,3,1,1,Suburban,28,249047
1023,2,3,3,3,Suburban,36,159805
2757,1,4,2,0,Urban,37,313686
2283,4,2,2,0,Rural,25,277536
2021,4,2,3,2,Suburban,31,272954
912,5,4,3,3,Suburban,12,211597
3416,3,2,1,1,Suburban,1,409716
3597,2,1,2,0,Suburban,32,383002
1065,1,4,1,0,Suburban,42,127805
735,4,2,3,3,Suburban,20,160261
3886,3,2,1,1,Suburban,13,441146
2325,4,3,3,2,Urban,10,340823
3672,2,1,1,1,Urban,8,419647
2596,5,3,1,3,Rural,19,332950
2557,4,2,3,0,Rural,50,280670
1911,3,3,3,0,Rural,21,243440
2375,5,2,3,0,Suburban,24,311788
615,3,1,2,3,Suburban,34,101889
3879,4,4,1,1,Urban,24,470033
2046,3,2,1,3,Rural,47,220871
3815,1,2,3,0,Rural,44,381533
1085,3,2,2,3,Urban,8,194318
1244,2,2,2,0,Suburban,22,165834
3381,4,4,2,0,Suburban,5,428129
1225,3,3,2,2,Rural,48,151202
1094,1,1,3,1,Urban,32,138500
2982,1,4,3,1,Suburban,23,352461
3667,5,1,2,0,Suburban,30,419480
911,2,4,1,1,Urban,10,162323
971,2,3,3,3,Rural,34,146235
2347,3,1,1,0,Urban,16,286984
2601,1,3,3,3,Suburban,5,333574
2438,2,4,2,1,Rural,28,287925
3613,3,2,2,1,Suburban,35,398768
3781,2,3,1,0,Urban,9,437035
3476,5,4,2,1,Rural,31,412814
2959,5,2,2,2,Suburban,30,362004
3606,4,4,3,0,Urban,14,455366
1584,5,2,1,3,Urban,10,257305
2658,3,1,2,2,Urban,39,311236
3966,5,3,2,1,Rural,7,481832
2338,2,1,3,1,Urban,10,302242
1513,4,3,1,2,Suburban,0,243950
3833,3,2,3,0,Suburban,7,450678
713,2,2,3,2,Suburban,2,150826
2019,2,4,2,0,Suburban,40,235216
3408,1,3,2,2,Suburban,13,396042
3460,2,4,2,3,Suburban,33,407755
3567,1,2,3,0,Suburban,0,412051
2564,5,2,1,3,Suburban,17,339892
2615,2,1,1,2,Suburban,8,311502
3806,4,1,1,3,Suburban,6,456294
1265,4,1,3,0,Urban,28,190363
995,3,4,3,1,Rural,3,182638
1473,2,1,2,0,Rural,37,155471
3865,1,1,2,3,Suburban,7,432315
3243,3,2,1,2,Rural,40,348215
3999,1,4,2,0,Suburban,33,428790
3317,2,2,2,1,Suburban,42,353255
3989,3,2,1,1,Urban,14,460678
1792,5,1,2,1,Suburban,48,218910
1022,2,2,1,2,Urban,2,169972
1957,4,3,3,3,Urban,46,268211
3884,1,2,2,1,Urban,0,458287
2545,4,2,2,2,Suburban,8,333863
2422,3,4,3,0,Urban,17,326460
2032,1,1,1,0,Suburban,29,209116
3459,5,3,3,3,Suburban,11,455199
3066,1,2,2,1,Suburban,10,348329
3125,4,2,1,1,Urban,49,352167
3684,3,1,1,2,Suburban,5,430121
2513,5,4,2,1,Suburban,46,320931
1545,1,3,1,2,Rural,32,172954
